FFD Points: X, Y, Z
0.00285697080409, 0.00930390747434, 1.5938556955
0.00284699642706, 0.577531270098, 0.520881829575
0.00936405531332, 0.0165117032915, 1.59368101147
0.00935413950058, 0.637595234176, 0.520824745343
0.0173272666666, 0.0220767080924, 1.59349433874
0.0173174225234, 0.683969501278, 0.520763743376
0.0259332083067, 0.0265876737789, 1.59330706336
0.0259234416177, 0.721560255487, 0.520702544471
0.0347021166295, 0.030314168143, 1.59330706335
0.0346924288614, 0.752613857627, 0.520702544467
0.0527701881538, 0.0363695509825, 1.59330706333
0.0527606629998, 0.803074540279, 0.520702544459
0.0809471283986, 0.0432688002708, 1.59330706382
0.0809378568394, 0.860567326135, 0.520702544621
0.109506817268, 0.0483562859391, 1.59330706325
0.109497802749, 0.902962333453, 0.520702544435
0.138262784211, 0.0521815723893, 1.59330706318
0.138254028497, 0.934839189258, 0.520702544413
0.167130256654, 0.0550464760438, 1.59330706312
0.16712176075, 0.958712988482, 0.520702544391
0.196063863428, 0.0571405481481, 1.5933070632
0.196055627928, 0.976163298513, 0.52070254442
0.225036694984, 0.0585944381919, 1.59330706311
0.225028720243, 0.988278846952, 0.520702544389
0.25403171125, 0.0595042806255, 1.59330706307
0.254023997466, 0.995860740867, 0.520702544376
0.283037668952, 0.059943853189, 1.59330706342
0.283030216224, 0.999523784512, 0.520702544491
0.312046943559, 0.0599720824333, 1.59330706336
0.312039751917, 0.999759024294, 0.520702544471
0.341054300375, 0.0596373208955, 1.59330706308
0.341047369802, 0.996969391306, 0.52070254438
0.370056129842, 0.0589795159666, 1.5933070631
0.370049460287, 0.991487774925, 0.520702544386
0.399049980454, 0.058033234232, 1.59330706305
0.399043571846, 0.98360222523, 0.52070254437
0.428034195575, 0.0568273742216, 1.59330706304
0.428028047828, 0.973553559287, 0.520702544365
0.457007698782, 0.0553869095298, 1.59330706302
0.457001811798, 0.961549886917, 0.52070254436
0.492513472579, 0.0533323993716, 1.59330706303
0.49250790515, 0.944429254276, 0.520702544362
0.528001523902, 0.0509916306702, 1.59330706304
0.527996275869, 0.924923173532, 0.520702544365
0.563471624443, 0.0483929863412, 1.59330706304
0.563466695643, 0.903268165041, 0.520702544367
0.598923760345, 0.0455597823658, 1.59330706305
0.598919150617, 0.879658525406, 0.520702544369
0.634358002806, 0.0425109389882, 1.59330706307
0.634353711989, 0.854251920703, 0.520702544375
0.669774400366, 0.0392613592316, 1.59330706315
0.6697704283, 0.827172540721, 0.520702544402
0.705172898536, 0.0358222733047, 1.59330706313
